id,pedido_id,motorista_id,veículo_id,data_entrega,ano,mês,status,custo,hodometro_inicial,hodometro_final
1,221,10,5,2025-01-03,2025,1,entregue,1349.76,490352,490447
2,307,24,14,2025-01-01,2025,1,entregue,308.89,125340,125382
3,767,49,34,2025-01-06,2025,1,atrasada,1152.19,158742,158963
4,1213,49,5,2025-01-04,2025,1,atrasada,121.50,490447,490650
5,2462,13,14,2025-01-02,2025,1,entregue,302.80,125382,125617
6,2532,46,38,2025-01-02,2025,1,entregue,559.21,421812,421973
7,4061,35,11,2025-01-05,2025,1,atrasada,528.98,186529,186646
8,4271,15,36,2025-01-03,2025,1,entregue,665.27,426486,426589
9,4537,17,3,,2025,1,cancelado,181.80,213545,213641
10,5303,44,13,2025-01-01,2025,1,entregue,119.22,21968,21988
11,5382,13,35,2025-01-06,2025,1,atrasada,1248.62,164331,164550
12,5738,16,19,2025-01-02,2025,1,entregue,337.05,266334,266571
13,6455,49,40,2025-01-01,2025,1,entregue,586.37,78751,78869
14,7146,20,44,2025-01-04,2025,1,atrasada,1061.61,392776,393001
15,7175,34,46,,2025,1,cancelado,776.43,349311,349339
16,8459,2,5,2025-01-03,2025,1,entregue,205.54,490650,490710
17,8623,44,26,2025-01-02,2025,1,entregue,1191.88,291275,291350
18,946,20,6,2025-01-02,2025,1,entregue,1242.88,106991,107092
19,1771,2,9,2025-01-02,2025,1,entregue,1337.25,262578,262669
20,2308,35,38,2025-01-06,2025,1,atrasada,1100.37,421973,422100
21,2710,10,36,2025-01-03,2025,1,entregue,274.56,426589,426655
22,2757,2,6,2025-01-04,2025,1,entregue,191.73,107092,107360
23,2767,19,3,2025-01-05,2025,1,atrasada,1058.70,213641,213705
24,2809,15,36,2025-01-03,2025,1,entregue,239.47,426655,426755
25,3133,16,28,2025-01-07,2025,1,atrasada,192.73,338879,338981
26,3386,17,46,2025-01-02,2025,1,entregue,539.99,349339,349576
27,4410,9,36,2025-01-02,2025,1,entregue,1401.11,426755,426872
28,4652,9,33,2025-01-04,2025,1,entregue,1392.91,6324,6405
29,5126,45,13,2025-01-03,2025,1,entregue,698.36,21988,22048
30,5433,45,21,2025-01-04,2025,1,entregue,265.68,278110,278151
31,5625,16,36,2025-01-07,2025,1,atrasada,1135.58,426872,426941
32,6075,45,33,2025-01-04,2025,1,entregue,1074.32,6405,6636
33,6253,16,31,2025-01-02,2025,1,entregue,1115.20,438319,438461
34,6911,9,28,2025-01-02,2025,1,entregue,1168.85,338981,339055
35,7066,15,4,2025-01-04,2025,1,entregue,1352.00,454120,454283
36,7281,12,33,2025-01-03,2025,1,entregue,621.58,6636,6660
37,7398,50,34,2025-01-02,2025,1,entregue,605.02,158963,159230
38,8398,11,36,,2025,1,cancelado,357.48,426941,426967
39,8526,3,44,2025-01-03,2025,1,entregue,731.48,393001,393131
40,9120,49,46,2025-01-02,2025,1,entregue,74.50,349576,349707
41,272,20,13,2025-01-06,2025,1,atrasada,954.17,22048,22199
42,323,13,9,2025-01-03,2025,1,entregue,687.89,262669,262788
43,648,45,40,2025-01-03,2025,1,entregue,166.27,78869,78991
44,1106,42,26,2025-01-05,2025,1,entregue,931.24,291350,291464
45,1450,49,11,2025-01-05,2025,1,entregue,421.44,186646,186864
46,2685,46,8,2025-01-03,2025,1,entregue,973.62,448302,448478
47,3953,19,11,2025-01-05,2025,1,entregue,744.21,186864,186985
48,4425,20,19,2025-01-06,2025,1,atrasada,1227.87,266571,266819
49,5653,10,19,2025-01-08,2025,1,atrasada,783.37,266819,267023
50,5879,50,34,2025-01-03,2025,1,entregue,756.96,159230,159467
51,5927,11,19,2025-01-03,2025,1,entregue,391.63,267023,267288
52,6378,49,9,2025-01-04,2025,1,entregue,178.14,262788,262910
53,7928,46,43,,2025,1,cancelado,1146.51,201882,201991
54,9380,11,19,2025-01-07,2025,1,atrasada,921.26,267288,267357
55,9453,49,44,2025-01-03,2025,1,entregue,819.57,393131,393164
56,9889,2,31,,2025,1,cancelado,198.71,438461,438611
57,40,40,26,2025-01-05,2025,1,entregue,447.75,291464,291532
58,187,40,19,2025-01-04,2025,1,entregue,919.40,267357,267505
59,286,45,23,2025-01-04,2025,1,entregue,217.18,423602,423766
60,829,3,19,2025-01-06,2025,1,entregue,263.80,267505,267567
61,889,46,34,,2025,1,cancelado,586.50,159467,159680
62,934,16,38,2025-01-05,2025,1,entregue,1118.15,422100,422377
63,2032,19,7,2025-01-06,2025,1,entregue,1484.49,397292,397297
64,2131,12,28,2025-01-06,2025,1,entregue,287.48,339055,339334
65,2276,10,8,2025-01-04,2025,1,entregue,969.78,448478,448615
66,2366,35,14,2025-01-06,2025,1,entregue,405.49,125617,125884
67,2562,49,33,2025-01-06,2025,1,entregue,98.10,6660,6851
68,2750,16,21,2025-01-06,2025,1,entregue,136.55,278151,278207
69,2901,42,11,2025-01-06,2025,1,entregue,78.10,186985,187116
70,2925,46,7,2025-01-06,2025,1,entregue,1144.89,397297,397307
71,3300,18,4,2025-01-06,2025,1,entregue,1005.68,454283,454320
72,3849,34,4,2025-01-05,2025,1,entregue,584.97,454320,454452
73,4153,40,14,2025-01-06,2025,1,entregue,1256.47,125884,125978
74,4368,50,43,2025-01-04,2025,1,entregue,563.65,201991,202215
75,4767,12,34,,2025,1,cancelado,835.98,159680,159769
76,5024,17,31,2025-01-05,2025,1,entregue,1277.19,438611,438797
77,5882,35,8,2025-01-04,2025,1,entregue,528.61,448615,448736
78,6065,10,31,2025-01-05,2025,1,entregue,959.36,438797,438932
79,6360,45,7,2025-01-09,2025,1,atrasada,462.90,397307,397425
80,6604,45,19,2025-01-04,2025,1,entregue,840.91,267567,267796
81,6670,10,21,2025-01-06,2025,1,entregue,1353.67,278207,278420
82,6738,46,14,2025-01-04,2025,1,entregue,444.60,125978,126272
83,7718,35,23,2025-01-05,2025,1,entregue,373.73,423766,423874
84,8147,42,9,2025-01-04,2025,1,entregue,1320.08,262910,263148
85,2503,3,36,2025-01-06,2025,1,entregue,678.51,426967,427234
86,3329,11,40,2025-01-08,2025,1,entregue,838.65,78991,79136
87,3415,11,5,2025-01-07,2025,1,entregue,91.23,490710,490849
88,3607,16,8,,2025,1,cancelado,861.05,448736,448758
89,4009,49,13,2025-01-06,2025,1,entregue,113.99,22199,22378
90,4165,44,8,2025-01-06,2025,1,entregue,702.74,448758,448935
91,4253,46,13,2025-01-06,2025,1,entregue,358.75,22378,22641
92,4660,12,5,2025-01-07,2025,1,entregue,1259.68,490849,490923
93,5058,12,11,2025-01-11,2025,1,atrasada,655.70,187116,187280
94,5197,17,28,2025-01-06,2025,1,entregue,67.60,339334,339477
95,6287,50,5,2025-01-06,2025,1,entregue,1132.59,490923,491201
96,6453,40,38,2025-01-08,2025,1,entregue,131.71,422377,422589
97,8486,15,7,2025-01-06,2025,1,entregue,1204.17,397425,397541
98,8717,10,3,2025-01-07,2025,1,entregue,1201.77,213705,213986
99,8808,44,5,2025-01-07,2025,1,entregue,950.82,491201,491410
100,8826,15,5,2025-01-06,2025,1,entregue,517.89,491410,491428
101,29,17,26,,2025,1,cancelado,659.64,291532,291811
102,638,24,11,2025-01-10,2025,1,atrasada,692.69,187280,187376
103,1109,42,26,2025-01-07,2025,1,entregue,619.77,291811,291887
104,1237,17,6,2025-01-07,2025,1,entregue,73.73,107360,107464
105,1285,13,19,2025-01-07,2025,1,entregue,434.32,267796,267858
106,1356,19,6,2025-01-07,2025,1,entregue,682.72,107464,107658
107,1497,20,40,2025-01-09,2025,1,entregue,1398.92,79136,79249
108,1661,45,46,2025-01-08,2025,1,entregue,250.00,349707,349783
109,2024,17,26,2025-01-08,2025,1,entregue,1148.11,291887,292148
110,2254,50,8,2025-01-08,2025,1,entregue,998.84,448935,448971
111,3049,35,46,,2025,1,cancelado,704.53,349783,350024
112,3100,44,31,2025-01-09,2025,1,entregue,480.83,438932,439037
113,3655,34,8,2025-01-07,2025,1,entregue,307.71,448971,449252
114,3666,16,14,2025-01-07,2025,1,entregue,303.94,126272,126330
115,3715,9,9,,2025,1,cancelado,526.12,263148,263308
116,3961,34,3,2025-01-08,2025,1,entregue,599.57,213986,214141
117,4296,3,5,2025-01-08,2025,1,entregue,447.11,491428,491491
118,4415,50,4,2025-01-07,2025,1,entregue,1176.87,454452,454640
119,4524,49,40,2025-01-09,2025,1,entregue,1455.38,79249,79415
120,4827,19,3,2025-01-11,2025,1,atrasada,665.66,214141,214232
121,4855,40,4,2025-01-12,2025,1,atrasada,1208.27,454640,454739
122,5462,34,5,2025-01-09,2025,1,entregue,660.03,491491,491733
123,6322,19,8,2025-01-09,2025,1,entregue,1400.16,449252,449509
124,6653,5,21,2025-01-09,2025,1,entregue,203.11,278420,278644
125,6868,40,6,2025-01-10,2025,1,atrasada,1015.93,107658,107702
126,7679,19,40,2025-01-09,2025,1,entregue,1047.55,79415,79675
127,8227,10,34,2025-01-08,2025,1,entregue,335.19,159769,159829
128,8488,12,44,2025-01-09,2025,1,entregue,580.83,393164,393391
129,9556,20,23,2025-01-08,2025,1,entregue,1119.50,423874,424079
130,9862,3,23,2025-01-07,2025,1,entregue,535.62,424079,424280
131,85,50,33,2025-01-09,2025,1,entregue,1352.22,6851,6869
132,289,9,43,,2025,1,cancelado,222.69,202215,202338
133,301,3,21,,2025,1,cancelado,318.62,278644,278889
134,562,13,4,2025-01-12,2025,1,atrasada,804.82,454739,454964
135,712,50,4,2025-01-11,2025,1,atrasada,839.95,454964,455161
136,730,9,40,2025-01-10,2025,1,entregue,200.35,79675,79802
137,1498,2,3,2025-01-08,2025,1,entregue,1340.66,214232,214304
138,1774,3,34,2025-01-08,2025,1,entregue,977.87,159829,159919
139,2653,34,8,,2025,1,cancelado,362.84,449509,449564
140,3076,2,33,2025-01-08,2025,1,entregue,970.50,6869,7011
141,3769,34,46,2025-01-09,2025,1,entregue,266.80,350024,350200
142,3900,50,23,2025-01-09,2025,1,entregue,816.96,424280,424452
143,4016,35,3,2025-01-08,2025,1,entregue,833.71,214304,214335
144,4110,5,7,2025-01-08,2025,1,entregue,1251.63,397541,397760
145,4118,16,11,2025-01-08,2025,1,entregue,1327.12,187376,187477
146,4146,42,6,2025-01-13,2025,1,atrasada,259.45,107702,107824
147,4340,40,13,2025-01-12,2025,1,atrasada,883.92,22641,22941
148,4528,9,34,2025-01-09,2025,1,entregue,446.32,159919,160084
149,5595,40,45,2025-01-10,2025,1,entregue,366.84,4743,4992
150,6079,12,28,2025-01-08,2025,1,entregue,773.63,339477,339701
151,6468,40,28,2025-01-12,2025,1,atrasada,732.06,339701,339749
152,6707,10,33,2025-01-08,2025,1,entregue,691.94,7011,7154
153,7040,5,4,2025-01-09,2025,1,entregue,196.19,455161,455417
154,8230,45,5,2025-01-09,2025,1,entregue,169.01,491733,491759
155,9232,12,23,2025-01-10,2025,1,entregue,183.02,424452,424541
156,9523,50,19,2025-01-08,2025,1,entregue,1059.33,267858,267927
157,1486,44,5,2025-01-11,2025,1,entregue,204.23,491759,491949
158,1647,49,36,2025-01-09,2025,1,entregue,604.82,427234,427277
159,2861,45,38,2025-01-09,2025,1,entregue,1451.66,422589,422883
160,2962,2,31,2025-01-10,2025,1,entregue,361.96,439037,439225
161,3701,17,6,2025-01-09,2025,1,entregue,731.44,107824,108036
162,3838,15,36,2025-01-11,2025,1,entregue,1322.73,427277,427405
163,4899,12,3,2025-01-11,2025,1,entregue,1307.63,214335,214437
164,5194,49,43,,2025,1,cancelado,766.75,202338,202476
165,5511,5,36,,2025,1,cancelado,1137.42,427405,427588
166,5620,12,35,2025-01-11,2025,1,entregue,918.20,164550,164731
167,5942,12,46,2025-01-13,2025,1,atrasada,925.92,350200,350390
168,6111,46,21,2025-01-11,2025,1,entregue,334.79,278889,278926
169,6615,18,23,2025-01-13,2025,1,atrasada,287.79,424541,424731
170,7032,17,7,2025-01-10,2025,1,entregue,1321.55,397760,398049
171,7258,5,35,2025-01-09,2025,1,entregue,343.75,164731,164819
172,7422,13,31,2025-01-09,2025,1,entregue,696.52,439225,439279
173,7488,45,19,2025-01-10,2025,1,entregue,1349.84,267927,267980
174,7655,34,19,2025-01-09,2025,1,entregue,1122.79,267980,267999
175,8736,44,33,2025-01-12,2025,1,atrasada,370.20,7154,7194
176,266,17,46,2025-01-10,2025,1,entregue,266.70,350390,350677
177,798,18,19,2025-01-11,2025,1,entregue,1100.45,267999,268293
178,1051,44,40,2025-01-14,2025,1,atrasada,1118.49,79802,79924
179,2191,40,35,2025-01-10,2025,1,entregue,1092.56,164819,164954
180,3161,19,21,2025-01-10,2025,1,entregue,1396.62,278926,279162
181,3601,45,19,2025-01-13,2025,1,atrasada,1419.54,268293,268570
182,3935,9,44,2025-01-10,2025,1,entregue,1207.55,393391,393651
183,4315,18,21,2025-01-14,2025,1,atrasada,457.16,279162,279369
184,4699,12,34,2025-01-11,2025,1,entregue,710.32,160084,160372
185,4943,42,3,2025-01-10,2025,1,entregue,1435.53,214437,214529
186,6108,10,46,2025-01-12,2025,1,entregue,54.70,350677,350869
187,7432,42,28,2025-01-11,2025,1,entregue,963.40,339749,339826
188,7644,5,38,2025-01-10,2025,1,entregue,842.79,422883,423089
189,8020,45,9,,2025,1,cancelado,757.57,263308,263477
190,8661,17,46,2025-01-12,2025,1,entregue,139.30,350869,351133
191,8905,24,4,2025-01-11,2025,1,entregue,1031.58,455417,455588
192,196,15,40,2025-01-13,2025,1,entregue,240.01,79924,80145
193,508,20,26,2025-01-11,2025,1,entregue,1292.60,292148,292216
194,586,10,23,2025-01-11,2025,1,entregue,278.77,424731,424760
195,853,13,9,2025-01-11,2025,1,entregue,1016.15,263477,263661
196,2589,12,9,2025-01-14,2025,1,atrasada,1488.67,263661,263905
197,2604,20,35,,2025,1,cancelado,194.62,164954,165200
198,3176,12,6,2025-01-12,2025,1,entregue,727.58,108036,108304
199,3308,45,28,2025-01-13,2025,1,entregue,1374.23,339826,339922
200,4151,2,7,2025-01-16,2025,1,atrasada,429.20,398049,398251
201,4155,45,19,,2025,1,cancelado,756.32,268570,268727
202,4801,34,8,2025-01-15,2025,1,atrasada,1161.49,449564,449748
203,5457,13,11,2025-01-13,2025,1,entregue,796.27,187477,187760
204,5676,24,43,2025-01-16,2025,1,atrasada,467.79,202476,202494
205,5707,13,5,2025-01-14,2025,1,atrasada,1373.65,491949,491967
206,6172,16,3,2025-01-12,2025,1,entregue,1358.15,214529,214540
207,6391,46,5,2025-01-12,2025,1,entregue,918.31,491967,492208
208,7222,2,43,2025-01-11,2025,1,entregue,920.70,202494,202628
209,7305,35,31,2025-01-14,2025,1,atrasada,1435.07,439279,439535
210,7314,10,13,2025-01-12,2025,1,entregue,674.89,22941,23172
211,7794,13,44,,2025,1,cancelado,1339.47,393651,393738
212,8104,16,9,2025-01-13,2025,1,entregue,1125.84,263905,263956
213,8204,34,21,2025-01-13,2025,1,entregue,792.42,279369,279525
214,8414,35,3,2025-01-13,2025,1,entregue,424.41,214540,214675
215,8423,2,34,2025-01-13,2025,1,entregue,653.48,160372,160545
216,8545,45,44,2025-01-12,2025,1,entregue,937.19,393738,393932
217,8834,20,33,2025-01-11,2025,1,entregue,1347.86,7194,7297
218,9234,11,26,,2025,1,cancelado,524.92,292216,292245
219,9323,24,8,2025-01-11,2025,1,entregue,410.03,449748,449965
220,9324,16,11,2025-01-11,2025,1,entregue,715.83,187760,187913
221,194,10,7,2025-01-17,2025,1,atrasada,698.65,398251,398440
