id,cliente_id,data_pedido,prazo_entrega,valor
1,83,2025-03-11,2025-03-14,1235.31
2,13,2025-11-28,2025-12-01,3102.86
3,11,2025-10-22,2025-10-25,4305.29
4,185,2026-05-07,2026-05-10,3371.71
5,74,2025-12-11,2025-12-14,251.87
6,118,2025-09-22,2025-09-25,4661.39
7,115,2025-03-12,2025-03-15,2723.69
8,54,2025-11-26,2025-11-29,1404.25
9,43,2026-02-12,2026-02-15,1496.90
10,35,2026-01-23,2026-01-26,1230.83
11,234,2025-12-23,2025-12-26,1843.46
12,199,2026-04-13,2026-04-16,842.22
13,94,2026-02-20,2026-02-23,2780.13
14,147,2026-02-07,2026-02-10,3545.83
15,221,2025-03-07,2025-03-10,2399.17
16,128,2025-04-10,2025-04-13,2640.30
17,57,2026-01-22,2026-01-25,4724.58
18,288,2025-08-13,2025-08-16,572.86
19,256,2026-04-23,2026-04-26,4699.94
20,193,2025-06-05,2025-06-08,3437.28
21,239,2025-07-31,2025-08-03,2768.18
22,265,2025-07-02,2025-07-05,722.77
23,54,2025-10-13,2025-10-16,3263.61
24,143,2025-08-14,2025-08-17,4706.79
25,222,2025-07-16,2025-07-19,248.19
26,83,2026-02-16,2026-02-19,2911.81
27,293,2025-10-21,2025-10-24,3879.91
28,281,2025-02-18,2025-02-21,3177.04
29,11,2025-01-07,2025-01-10,2554.82
30,134,2026-03-17,2026-03-20,4259.68
31,263,2025-07-14,2025-07-17,2625.58
32,77,2025-12-01,2025-12-04,4694.15
33,111,2026-05-23,2026-05-26,3158.86
34,100,2025-11-15,2025-11-18,202.22
35,109,2026-05-04,2026-05-07,1991.55
36,143,2025-02-08,2025-02-11,2385.13
37,213,2025-06-03,2025-06-06,2224.77
38,84,2025-12-10,2025-12-13,1939.93
39,23,2026-01-24,2026-01-27,3824.69
40,103,2025-01-04,2025-01-07,3412.69
41,110,2026-02-17,2026-02-20,4205.64
42,278,2025-04-28,2025-05-01,1324.10
43,66,2026-06-04,2026-06-07,2893.11
44,237,2025-12-26,2025-12-29,805.73
45,63,2025-05-23,2025-05-26,4705.92
46,81,2025-11-08,2025-11-11,2797.10
47,117,2025-10-07,2025-10-10,2143.64
48,93,2025-08-11,2025-08-14,4570.54
49,199,2025-07-11,2025-07-14,2797.89
50,173,2026-04-18,2026-04-21,275.25
51,118,2025-03-04,2025-03-07,2757.89
52,9,2025-05-26,2025-05-29,1566.96
53,156,2025-08-13,2025-08-16,549.75
54,199,2026-03-17,2026-03-20,2572.24
55,38,2025-03-04,2025-03-07,4923.56
56,42,2025-07-04,2025-07-07,1254.43
57,96,2026-04-02,2026-04-05,1585.24
58,163,2025-09-01,2025-09-04,1568.06
59,187,2025-05-10,2025-05-13,1241.80
60,135,2025-01-28,2025-01-31,4391.67
61,80,2025-09-15,2025-09-18,4875.07
62,173,2025-11-10,2025-11-13,1087.66
63,45,2025-11-08,2025-11-11,2403.55
64,240,2025-03-25,2025-03-28,3935.23
65,138,2025-11-01,2025-11-04,2821.71
66,84,2025-09-04,2025-09-07,3427.82
67,300,2025-10-07,2025-10-10,1881.35
68,105,2025-03-19,2025-03-22,720.03
69,30,2026-05-14,2026-05-17,605.49
70,9,2025-04-02,2025-04-05,2061.46
71,214,2026-01-03,2026-01-06,2358.23
72,5,2026-01-05,2026-01-08,4379.51
73,273,2026-06-08,2026-06-11,3738.02
74,213,2025-03-07,2025-03-10,4047.26
75,187,2026-02-10,2026-02-13,1472.62
76,272,2026-06-16,2026-06-19,2647.22
77,20,2025-08-08,2025-08-11,457.02
78,109,2025-08-04,2025-08-07,614.53
79,108,2025-06-07,2025-06-10,4815.96
80,40,2026-02-23,2026-02-26,1782.83
81,58,2026-03-20,2026-03-23,1433.07
82,254,2025-05-15,2025-05-18,3565.76
83,216,2026-02-24,2026-02-27,2872.07
84,225,2026-02-26,2026-03-01,2665.10
85,118,2025-01-08,2025-01-11,2948.80
86,44,2025-07-31,2025-08-03,2183.43
87,117,2025-11-12,2025-11-15,3940.70
88,276,2025-07-07,2025-07-10,3816.35
89,253,2025-09-09,2025-09-12,2098.43
90,225,2026-03-04,2026-03-07,3718.85
91,167,2026-06-23,2026-06-26,1489.59
92,188,2026-01-02,2026-01-05,3822.12
93,154,2025-08-08,2025-08-11,3409.54
94,164,2026-05-21,2026-05-24,2198.58
95,110,2025-03-12,2025-03-15,3617.12
96,249,2025-04-15,2025-04-18,3634.17
97,42,2026-02-11,2026-02-14,3423.64
98,116,2026-04-07,2026-04-10,4548.94
99,293,2025-05-21,2025-05-24,2272.70
100,251,2026-01-07,2026-01-10,3082.82
101,97,2025-06-10,2025-06-13,4637.33
102,116,2025-05-20,2025-05-23,4186.08
103,231,2025-05-28,2025-05-31,1610.84
104,169,2026-06-09,2026-06-12,1668.39
105,140,2025-06-07,2025-06-10,4332.12
106,109,2025-08-06,2025-08-09,3102.33
107,280,2025-02-08,2025-02-11,4281.07
108,192,2025-07-24,2025-07-27,4310.92
109,210,2025-03-03,2025-03-06,372.59
110,153,2025-10-24,2025-10-27,3383.94
111,253,2026-05-04,2026-05-07,2773.06
112,184,2025-04-12,2025-04-15,2383.92
113,65,2025-05-31,2025-06-03,1716.61
114,187,2025-11-11,2025-11-14,2087.55
115,188,2026-06-06,2026-06-09,2292.53
116,100,2026-05-27,2026-05-30,3602.33
117,17,2026-03-31,2026-04-03,343.98
118,240,2025-10-14,2025-10-17,4065.65
119,4,2025-04-25,2025-04-28,1237.81
120,278,2025-06-06,2025-06-09,3343.08
121,82,2025-08-13,2025-08-16,3301.69
122,259,2025-12-19,2025-12-22,2069.19
123,206,2025-12-15,2025-12-18,320.51
124,33,2025-08-02,2025-08-05,3363.89
125,148,2025-01-20,2025-01-23,2521.79
126,186,2025-12-12,2025-12-15,2646.33
127,243,2025-04-24,2025-04-27,3458.88
128,123,2026-05-19,2026-05-22,2765.65
129,247,2025-08-23,2025-08-26,4131.88
130,223,2025-03-15,2025-03-18,3104.03
131,68,2025-12-20,2025-12-23,2192.06
132,46,2025-08-15,2025-08-18,3769.21
133,224,2025-11-18,2025-11-21,4781.56
134,6,2025-09-02,2025-09-05,455.12
135,10,2025-06-10,2025-06-13,1372.60
136,79,2025-11-25,2025-11-28,3373.73
137,111,2025-08-18,2025-08-21,4337.69
138,180,2026-06-19,2026-06-22,733.69
139,189,2025-02-04,2025-02-07,2309.51
140,89,2025-08-14,2025-08-17,4112.98
141,285,2025-08-02,2025-08-05,3218.01
142,111,2026-01-22,2026-01-25,1535.93
143,195,2026-04-22,2026-04-25,3663.73
